# time dt fps
121.1722 16.68265 59.94253
121.3811 16.70913 59.84751
121.5969 17.87696 55.93793
121.8052 17.379 57.54073
122.0117 18.47939 54.11435
122.221 16.66694 59.99902
122.4284 16.72502 59.79065
122.6335 16.82806 59.42456
122.8404 16.69501 59.89812
123.0498 16.7949 59.54189
123.2534 16.89855 59.17667
123.4611 16.66287 60.01368
123.6689 16.82339 59.44105
123.8734 16.77859 59.59976
124.077 16.72855 59.77806
124.284 18.08044 55.30839
124.4898 16.9673 58.93689
124.6969 17.64334 56.67862
124.9104 19.78858 50.5342
125.1176 16.72227 59.80048
125.3314 16.98397 58.87905
125.5407 16.76945 59.63225
125.7446 16.78631 59.57236
125.9495 16.75586 59.68062
126.1574 16.83949 59.38422
126.364 16.71196 59.8374
126.569 16.75038 59.70016
126.7732 16.76176 59.65961
126.9804 16.67152 59.98254
127.1866 16.72448 59.79258
127.3893 16.83579 59.39726
127.596 20.05627 49.85973
127.8052 21.77456 45.92516
128.0082 17.07788 58.55526
128.2163 18.552 53.90255
128.4207 19.97991 50.05026
128.6237 17.85886 55.9946
128.8277 18.78899 53.22267
129.0331 16.72484 59.7913
129.2394 18.60987 53.73494
129.4436 18.0434 55.42192
129.6488 16.76922 59.63307
129.8558 17.39844 57.47643
130.0616 16.76712 59.64053
130.271 17.46522 57.25665
130.4784 18.08894 55.2824
130.6854 16.88887 59.21059
130.8916 18.92862 52.83004
131.0966 16.90627 59.14966
131.305 19.52114 51.22653
131.5151 17.85387 56.01025
131.7234 19.46392 51.3771
131.9282 17.52206 57.07091
132.1324 18.07153 55.33567
132.3358 17.25066 57.96881
132.5397 18.08945 55.28085
132.7435 17.21194 58.09921
132.9482 16.88778 59.21441
133.1518 16.68595 59.93066
133.3556 17.99174 55.58104
133.5599 18.03691 55.44186
133.7634 17.70161 56.49205
133.9667 16.8674 59.28596
134.1692 16.72967 59.77403
134.3734 16.81016 59.48783
134.5799 19.95169 50.12106
134.7841 17.28078 57.86775
134.9876 17.38489 57.52122
135.1914 17.07493 58.56538
135.395 17.06 58.61665
135.5992 16.88806 59.21344
135.8043 18.91259 52.87484
136.0063 16.82917 59.42064
136.2117 16.68163 59.94616
136.4182 16.84933 59.34955
136.6217 16.79669 59.53555
136.8218 16.86104 59.30832
137.0273 17.05082 58.6482
137.2306 17.03635 58.69802
137.4369 16.81701 59.4636
137.6409 17.00497 58.80635
137.8475 16.66339 60.01181
138.0514 16.92744 59.07569
138.2566 17.09669 58.49087
138.4604 16.73186 59.76622
138.6637 17.06096 58.61336
138.8676 16.67446 59.97195
139.0708 16.88147 59.23654
139.2752 16.85804 59.31889
139.481 16.80618 59.5019
